Data;Gaz;Prąd
;;
45271;2850;124
45272;2863;140
45273;2873;165
45274;2885;177
;;
45276;2912;219
45277;2922;230
45278;2933;254
45279;2939;270
45280;2950;280
45281;2966;298
45282;2979;316
45283;2993;348
45284;3008;389
;;
45286;3019;444
45287;3030;463
45288;3041;485
45289;3051;508
;;
;;
45292;3073;547
45293;3087;565
45294;3100;586
45295;3111;602
45296;3124;624
45297;3136;642
45298;3155;672
45299;3171;692
45300;3189;710
45301;3207;735
45302;3224;754
;;
45304;3253;802
45305;3268;823
45306;3278;845
45307;3291;866
45308;3301;884
45309;3318;907
45310;3329;926
45311;3344;953
45312;3354;953
45313;3367;991
45314;3381;1009
45315;3394;1028
45316;3409;1048
45317;3419;1076
;;
45319;3445;1126
45320;3452;1141
;;
45322;3473;1176
45323;3482;1197
;;
;;
45326;3485;1221
;;
45328;3485;1234
45329;3502;1245
;;
;;
45332;3535;1271
45333;3557;1297
45334;3567;1312
45335;3575;1331
45336;3583;1350
45337;3590;1365
45338;3594;1376
;;
45340;3599;1394
45341;3610;1407
;;
45343;3631;1437
45344;3638;1453
45345;3643;1473
45346;3651;1485
45347;3656;1502
45348;3663;1521
45349;3667;1534
45350;3675;1552
45351;3679;1564
45352;3682;1579
45353;3687;1599
45354;3691;1617
45355;3696;1634
45356;3702;1651
45357;3712;1672
45358;3718;1684
;;
;;
45361;3737;1724
45362;3742;1738
45363;3750;1752
45364;3753;1768
45365;3759;1785
45366;3768;1809
45367;3770;1818
45368;3778;1843
45369;3785;1856
45370;3791;1870
;;
45372;3807;1899
;;
;;
45375;3827;1956
45376;3834;1971
45377;3839;1991
45378;3845;2009
45379;3849;2025
;;
45381;3859;2081
45382;3863;2116
45383;3867;2133
45384;3871;2152
45385;3874;2169
45386;3879;2184
45387;3882;2200
45388;3886;2230
45389;3889;2247
45390;3891;2261
45391;3893;2274
45392;3896;2289
45393;3898;2302
;;
;;
;;
45397;3911;2353
45398;3915;2374
45399;3921;2387
45400;3928;2405
45401;3936;2429
45402;3941;2446
45403;3948;2474
45404;3953;2490
45405;3959;2507
45406;3965;2521
45407;3970;2538
;;
;;
45410;3980;2573
;;
;;
;;
;;
45415;3986;2621
;;
45417;3991;2638
45418;3994;2658
45419;3997;2667
45420;4000;2683
45421;4004;2701
45422;4006;2718
45423;;
45424;4006;2725
45425;4009;2737
45426;4012;2750
45427;4015;2761
;;
;;
;;
;;
;;
45433;4030;2852
45434;4033;2865
45435;4035;2875
;;
;;
45438;4040;2904
45439;4044;2923
45440;4047;2936
45441;4050;2953
;;
;;
;;
45445;4051;2987
45446;4053;3002
45447;4056;3017
45448;4059;3033
45449;4062;3045
45450;4064;3058
45451;4067;3078
45452;4069;3098
;;
45454;4073;3124
45455;4076;3140
45456;4079;3157
45457;4082;3174
;;
45459;4086;3197
45460;4089;3215
45461;4092;3237
45462;4094;3259
45463;4097;3269
45464;4100;3278
;;
;;
;;
;;
;;
;;
;;
45472;4103;3348
45473;4106;3368
45474;4108;3383
;;
;;
;;
;;
;;
;;
;;
45482;4120;3472
45483;4122;3485
45484;4124;3502
;;
;;
;;
45488;4128;3542
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
45502;4139;3701
;;
;;
45505;4146;3747
45506;4148;3761
45507;4151;3774
45508;4153;3790
45509;4155;3806
45510;4158;3828
;;
;;
45513;4161;3868
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
45528;4161;3988
45529;4164;4006
;;
45531;4169;4034
;;
;;
;;
;;
45536;4177;4101
45537;4181;4121
45538;4184;4140
45539;4185;4152
45540;4188;4167
45541;4190;4184
45542;4193;4199
45543;4195;4214
45544;4196;4234
45545;4200;4244
;;
45547;4207;4263
45548;4210;4286
45549;4214;4313
45550;4216;4330
45551;;
45552;;
45553;;
45554;;
45555;;
45556;;
45557;;
45558;;
45559;;
45560;;
45561;;
45562;;
45563;;
45564;;
45565;;
45566;;
45567;;
45568;;
45569;;
45570;;
45571;;
45572;;
45573;;
45574;;
45575;;
45576;;
45577;;
45578;;
45579;;
45580;;
45581;;
45582;;
45583;;
45584;;
45585;;
45586;;
45587;;
45588;;
45589;;
45590;;
45591;;
45592;;
45593;;
45594;;
45595;;
45596;;
45597;;
45598;;
45599;;
45600;;
45601;;
45602;;
45603;;
45604;;
45605;;
45606;;
45607;;
45608;;
45609;;
45610;;
45611;;
45612;;
45613;;
45614;;
45615;;
45616;;
45617;;
45618;;
45619;;
45620;;
45621;;
45622;;
45623;;
45624;;
45625;;
45626;;
45627;;
45628;;
45629;;
45630;;
45631;;
45632;;
45633;;
45634;;
45635;;
45636;;
45637;;
45638;;
45639;;
45640;;
45641;;
45642;;
45643;;
45644;;
45645;;
45646;;
45647;;
45648;;
45649;;
45650;;
45651;;
45652;;
45653;;
45654;;
45655;;
45656;;
45657;;
